sample_ids V1 V2 V3 V4 V5 V6 V7 V8
CH0072 9.9946e-05 0.0983988 9.9946e-05 9.9946e-05 9.9946e-05 0.901002 9.9946e-05 9.9946e-05
CH0452 9.9973e-05 0.0698614 0.126484 9.9973e-05 0.702306 9.9973e-05 0.0153114 0.0857381
CH0461 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05
CH0533 9.9964e-05 0.0112729 0.56986 9.9964e-05 0.2348 9.9964e-05 9.9964e-05 0.183667
CH1103 9.99641e-05 0.347023 9.99641e-05 0.00907825 0.278651 0.364848 9.99641e-05 9.99641e-05
CH1164 9.99549e-05 0.0833829 9.99549e-05 9.99549e-05 0.039255 0.876862 9.99549e-05 9.99549e-05
CHRF 0.987123 9.99551e-05 9.99551e-05 0.0108216 9.99551e-05 9.99551e-05 9.99551e-05 0.00155593
CHW 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
CM0028 9.99729e-05 0.042461 0.054713 0.00563389 0.0872495 9.99729e-05 9.99729e-05 0.809643
FR1067 0.90614 9.99549e-05 9.99549e-05 0.0420214 9.99549e-05 9.99549e-05 0.0513393 9.99549e-05
FR1069 0.920859 9.9964e-05 9.9964e-05 0.040374 9.9964e-05 9.9964e-05 0.0127543 0.0256124
G17 0.659401 9.99731e-05 0.0105141 0.282061 9.99731e-05 0.0375888 9.99731e-05 0.0101355
G22 0.672598 0.0543089 9.9973e-05 0.244113 0.0266431 9.9973e-05 9.9973e-05 0.0020373
GFSI1-7-2 0.128132 9.99641e-05 0.239443 0.368369 9.99641e-05 9.99641e-05 0.263656 9.99641e-05
GG11 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
GN0001 0.106479 9.99551e-05 9.99551e-05 0.856997 9.99551e-05 9.99551e-05 0.0360241 9.99551e-05
GY0040 0.0460039 0.163772 0.0384392 9.99729e-05 0.0852541 9.99729e-05 9.99729e-05 0.666231
HO 0.944228 9.99639e-05 0.015471 9.99639e-05 9.99639e-05 9.99639e-05 0.0126243 0.0272773
IA1 0.00369314 9.99461e-05 0.995707 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05
IB33 0.0867552 9.9973e-05 0.126197 0.0170768 0.757182 9.9973e-05 0.0124895 9.9973e-05
IB49 0.139425 0.352849 0.0197407 9.9982e-05 0.23781 0.0156075 9.9982e-05 0.234368
IC17 0.117605 0.0132704 0.326177 9.99639e-05 0.542547 9.99639e-05 9.99639e-05 9.99639e-05
IE1K 0.0860843 0.0363926 0.34623 9.99729e-05 0.51824 0.012753 9.99729e-05 9.99729e-05
IN0017 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05 0.955217 9.99459e-05 9.99459e-05 0.0441833
IN0054 9.99638e-05 9.99638e-05 0.189117 9.99638e-05 0.264877 9.99638e-05 0.417848 0.127759
IN0059 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.9548 9.9946e-05 9.9946e-05 0.0446001
IN0114 9.9982e-05 0.105727 0.0441705 9.9982e-05 0.561947 0.0953983 0.0129863 0.179571
IN0115 0.0844432 0.00773468 0.200006 9.9982e-05 0.607937 0.0206222 9.9982e-05 0.0790566
IN0116 0.0900402 0.0699506 0.215297 0.0421878 0.289176 9.9982e-05 9.9982e-05 0.293148
INA168 9.99464e-05 9.99464e-05 0.991094 9.99464e-05 9.99464e-05 0.00830615 9.99464e-05 9.99464e-05
IR00102 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05
IR0013 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05
IR0015 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05
IR0083 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05
IR0084 9.994e-05 9.994e-05 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05
IR0088 0.244529 9.99821e-05 9.99821e-05 0.520757 0.0936305 0.0121855 0.107232 0.0214661
IR0095 9.9946e-05 9.9946e-05 0.0125566 0.986844 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05
IT0010 9.99549e-05 9.99549e-05 0.880125 9.99549e-05 9.99549e-05 9.99549e-05 0.0218053 0.0975703
JP0091 0.106811 9.99639e-05 0.187322 0.339272 9.99639e-05 9.99639e-05 0.366195 9.99639e-05
LpKY-97-1 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
ML0060 9.9964e-05 0.00118908 0.0890433 9.9964e-05 9.9964e-05 9.9964e-05 0.0379781 0.87139
ML0062 9.9973e-05 0.0273745 0.261994 9.9973e-05 0.140336 9.9973e-05 0.306151 0.263844
ML33 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05 0.0523539 0.947046
NG0012 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05 0.0852284 9.99549e-05 0.0367341 0.877538
NG0054 9.99549e-05 0.03177 9.99549e-05 9.99549e-05 0.0518954 9.99549e-05 9.99549e-05 0.915835
NP0058 0.00374933 9.99641e-05 0.0776779 9.99641e-05 9.99641e-05 0.914328 0.00384508 9.99641e-05
P28 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
P29 0.264014 0.102547 0.149822 0.176393 0.12475 0.0231077 0.105798 0.0535675
P3 0.973081 9.99462e-05 9.99462e-05 9.99462e-05 9.99462e-05 9.99462e-05 0.0263194 9.99462e-05
Pg1213-22 0.947599 9.9955e-05 0.035146 0.0167551 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05
PgKY4OV2-1 0.915521 9.9955e-05 9.9955e-05 0.0337713 9.9955e-05 9.9955e-05 0.0502082 9.9955e-05
PgPA18C-02 0.938626 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.0607743 9.9946e-05
PH42 0.915858 9.99551e-05 0.0108011 9.99551e-05 0.0728416 9.99551e-05 9.99551e-05 9.99551e-05
PL2-1 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
SSFL02 0.49354 9.99553e-05 9.99553e-05 0.36814 9.99553e-05 9.99553e-05 0.13782 9.99553e-05
SSFL14-3 0.482207 9.99552e-05 9.99552e-05 0.167089 9.99552e-05 9.99552e-05 0.350204 9.99552e-05
T25 0.936121 9.9964e-05 0.00283913 0.0241016 0.0365383 9.9964e-05 9.9964e-05 9.9964e-05
TG0004 9.99638e-05 0.0853597 0.181993 9.99638e-05 0.294084 9.99638e-05 0.438163 9.99638e-05
TG0032 9.99638e-05 0.0795102 0.14667 9.99638e-05 0.279945 9.99638e-05 0.493475 9.99638e-05
TN0001 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
TN0002 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
TN0050 0.033669 9.9964e-05 0.0106911 9.9964e-05 0.925349 9.9964e-05 0.029891 9.9964e-05
TN0057 9.9955e-05 9.9955e-05 0.0216342 9.9955e-05 0.902776 9.9955e-05 0.0750896 9.9955e-05
TN0065 9.9946e-05 0.995799 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.00360086 9.9946e-05
TN0090 9.994e-05 0.9993 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05 9.994e-05
TR0025 9.99549e-05 9.99549e-05 0.944995 0.0154546 9.99549e-05 9.99549e-05 9.99549e-05 0.0390503
US0041 9.99729e-05 9.99729e-05 0.145576 9.99729e-05 0.359098 0.061372 0.286158 0.147497
US0064 0.12992 9.99639e-05 0.180061 0.332211 9.99639e-05 9.99639e-05 0.357409 9.99639e-05
VT0027 0.0510176 0.195776 9.99731e-05 9.99731e-05 0.239371 0.0993089 9.99731e-05 0.414227
VT0030 9.99641e-05 0.24904 0.182013 9.99641e-05 9.99641e-05 0.0624602 9.99641e-05 0.506086
Z2-1 0.621729 0.022275 9.99731e-05 0.208007 9.99731e-05 0.033521 0.114168 9.99731e-05
