sample_ids V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
PL2-1 9.99279e-05 9.99279e-05 9.99279e-05 0.0533533 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 0.945847
SSFL02 9.99373e-05 9.99373e-05 0.31639 9.99373e-05 9.99373e-05 9.99373e-05 0.206998 9.99373e-05 9.99373e-05 0.475912
SSFL14-3 9.99463e-05 9.99463e-05 0.300422 9.99463e-05 0.107056 9.99463e-05 0.0928131 9.99463e-05 9.99463e-05 0.49911
T25 0.00394584 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.00373753 0.0501752 0.00423668 0.937405
TG0004 0.0144813 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 9.9946e-05 0.0137157 0.95567 9.9946e-05 0.0155335
TG0032 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 9.99279e-05 0.0454148 0.953786 9.99279e-05 9.99279e-05
TN0001 0.998691 9.99281e-05 9.99281e-05 9.99281e-05 9.99281e-05 9.99281e-05 0.000509832 9.99281e-05 9.99281e-05 9.99281e-05
TN0002 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
TN0050 9.99549e-05 0.0411019 0.0167824 9.99549e-05 9.99549e-05 0.824573 9.99549e-05 0.104445 9.99549e-05 0.0125978
TN0057 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.00235864 0.869016 9.9937e-05 0.127926 9.9937e-05 9.9937e-05
TN0065 0.959597 9.99371e-05 0.0255358 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05 0.014168 9.99371e-05 9.99371e-05
TN0090 0.999101 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05 9.99201e-05
TR0025 9.99459e-05 0.935618 9.99459e-05 9.99459e-05 0.0191837 9.99459e-05 0.0189332 0.0256657 9.99459e-05 9.99459e-05
US0041 9.99549e-05 9.99549e-05 0.0431612 9.99549e-05 0.193384 0.210864 9.99549e-05 0.482097 0.069993 9.99549e-05
US0064 0.0126073 0.0506038 0.865215 9.99458e-05 9.99458e-05 9.99458e-05 0.0709742 9.99458e-05 9.99458e-05 9.99458e-05
VT0027 0.0595705 9.99641e-05 9.99641e-05 0.513803 0.159256 0.170241 9.99641e-05 9.99641e-05 0.0582541 0.0384752
VT0030 0.0949082 0.10232 9.99641e-05 0.568038 0.189902 9.99641e-05 9.99641e-05 0.0301269 0.0143059 9.99641e-05
Z2-1 0.000957953 9.99552e-05 0.141294 9.99552e-05 9.99552e-05 9.99552e-05 0.242514 9.99552e-05 0.0480259 0.566708
