sample_ids V1 V2 V3 V4 V5 V6 V7
G22 9.9964e-05 0.0534941 9.9964e-05 9.9964e-05 0.294812 0.651294 9.9964e-05
GFSI1-7-2 9.99731e-05 9.99731e-05 0.0982739 0.240229 0.583036 0.0781612 9.99731e-05
GG11 9.99551e-05 0.00315526 9.99551e-05 9.99551e-05 9.99551e-05 0.996345 9.99551e-05
GN0001 9.9964e-05 9.9964e-05 0.00366127 9.9964e-05 0.8785 0.117439 9.9964e-05
GY0040 0.541676 0.257354 0.0913377 0.0785891 9.99819e-05 0.0308435 9.99819e-05
HO 0.0194609 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05 0.980039 9.99549e-05
IA1 9.99551e-05 0.00255417 9.99551e-05 0.996946 9.99551e-05 9.99551e-05 9.99551e-05
IB33 9.9982e-05 9.9982e-05 0.766774 0.107366 0.0850148 0.0179372 0.0227085
IB49 0.20999 0.405277 0.217508 9.9982e-05 9.9982e-05 0.11744 0.0495845
IC17 9.99729e-05 0.0208898 0.641278 0.238876 9.99729e-05 0.0986568 9.99729e-05
IE1K 9.99729e-05 0.0148279 0.616056 0.323227 9.99729e-05 0.0455897 9.99729e-05
IN0017 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
IN0054 0.288766 9.9973e-05 0.561831 0.145877 0.00322604 9.9973e-05 9.9973e-05
IN0059 9.9964e-05 0.0473662 0.938836 0.0133981 9.9964e-05 9.9964e-05 9.9964e-05
IN0114 0.182737 0.172417 0.497118 0.0611605 9.9982e-05 9.9982e-05 0.0863667
IN0115 0.0101195 0.0300286 0.672931 0.186065 9.9991e-05 0.0593289 0.0414265
IN0116 0.221476 0.163579 0.234504 0.241377 0.0305243 0.108441 9.9991e-05
INA168 9.99553e-05 9.99553e-05 9.99553e-05 0.988036 9.99553e-05 9.99553e-05 0.011464
IR00102 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
IR0013 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
IR0015 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
IR0083 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
IR0084 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
IR0088 0.0447357 9.99821e-05 0.0464222 9.99821e-05 0.623253 0.244893 0.0404968
IR0095 9.99549e-05 9.99549e-05 9.99549e-05 0.0197445 0.979756 9.99549e-05 9.99549e-05
IT0010 0.101005 9.99639e-05 0.0350387 0.863556 9.99639e-05 9.99639e-05 9.99639e-05
JP0091 9.9973e-05 9.9973e-05 0.161159 0.22653 0.504618 0.107392 9.9973e-05
LpKY-97-1 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
ML0060 0.855284 0.0381287 9.9973e-05 0.089282 0.017005 9.9973e-05 9.9973e-05
ML0062 0.339204 9.9973e-05 0.440577 0.178547 9.9973e-05 0.0413717 9.9973e-05
ML33 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
NG0012 0.930688 0.0192025 0.0323267 0.0174833 9.99729e-05 9.99729e-05 9.99729e-05
NG0054 0.798554 0.107618 0.0768648 0.0153654 9.99819e-05 9.99819e-05 0.00139768
NP0058 9.99551e-05 9.99551e-05 9.99551e-05 0.0946513 9.99551e-05 9.99551e-05 0.904849
P28 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
P29 0.129415 0.0601232 0.261637 0.0648118 0.0702518 0.382741 0.0310204
P3 0.0172809 9.99641e-05 9.99641e-05 9.99641e-05 0.00951736 0.972802 9.99641e-05
Pg1213-22 9.9964e-05 9.9964e-05 9.9964e-05 0.0322641 0.0155439 0.951792 9.9964e-05
PgKY4OV2-1 0.0260197 9.9964e-05 9.9964e-05 9.9964e-05 0.0816856 0.891895 9.9964e-05
PgPA18C-02 9.9973e-05 9.9973e-05 9.9973e-05 0.0419647 0.0125437 0.944015 0.00117628
PH42 9.99551e-05 9.99551e-05 0.0926731 9.99551e-05 9.99551e-05 0.906827 9.99551e-05
PL2-1 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
SSFL02 9.99642e-05 9.99642e-05 9.99642e-05 0.0202569 0.466602 0.512741 9.99642e-05
SSFL14-3 0.159275 9.99643e-05 9.99643e-05 9.99643e-05 0.36501 0.475315 9.99643e-05
T25 9.9982e-05 0.00475072 0.0193062 0.00321782 9.9982e-05 0.958105 0.0144198
TG0004 0.0957482 0.0303086 0.61768 0.109588 0.0664877 0.0800874 9.999e-05
TG0032 0.190838 0.0315008 0.547373 0.0717718 0.0792618 0.0791547 9.999e-05
TN0001 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
TN0002 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
TN0050 0.0243678 9.9964e-05 0.966077 0.00915488 9.9964e-05 9.9964e-05 9.9964e-05
TN0057 0.0702722 9.9955e-05 0.929228 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05
TN0065 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
TN0090 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05
TR0025 0.0226169 9.99549e-05 9.99549e-05 0.976883 9.99549e-05 9.99549e-05 9.99549e-05
US0041 0.289244 9.9991e-05 0.563794 0.0672424 0.0238871 0.00531454 0.0504185
US0064 9.9973e-05 9.9973e-05 0.134283 0.190861 0.560668 0.113889 9.9973e-05
VT0027 0.316613 0.305725 0.20674 9.99821e-05 9.99821e-05 0.0556773 0.115044
VT0030 0.44846 0.344702 9.9973e-05 0.131189 9.9973e-05 9.9973e-05 0.0753489
Z2-1 9.99731e-05 0.0430112 9.99731e-05 9.99731e-05 0.33871 0.575179 0.0428001
