sorted_sample_ids V1 V2 V3 V4 V5 V6 V7 V8 V9
Arcadia 0.0552361 0.217561 9.99729e-05 9.99729e-05 0.334267 9.99729e-05 0.315602 0.0405243 0.0365096
T25 9.99461e-05 9.99461e-05 9.99461e-05 0.0648171 0.90232 9.99461e-05 9.99461e-05 9.99461e-05 0.0322631
IB33 0.752421 0.0683355 9.9973e-05 9.9973e-05 0.07756 0.00567406 0.0643448 9.9973e-05 0.0313648
Pg1213-22 9.995e-05 0.0446604 9.995e-05 0.229866 0.699424 9.995e-05 9.995e-05 9.995e-05 0.0255498
CH1103 0.268913 9.99641e-05 9.99641e-05 9.99641e-05 0.00833792 0.386644 9.99641e-05 0.312559 0.0231469
PH42 0.0444438 9.99641e-05 9.99641e-05 0.19542 0.722034 9.99641e-05 0.0159147 9.99641e-05 0.0217878
IN0116 0.314209 0.201628 0.242511 9.9973e-05 0.151791 9.9973e-05 9.9973e-05 0.0716271 0.0179345
TN0050 0.946484 9.9955e-05 9.9955e-05 0.021151 9.9955e-05 9.9955e-05 0.0155001 9.9955e-05 0.0163647
ML0060 9.996e-05 0.0936798 0.874549 9.996e-05 0.00220695 9.996e-05 9.996e-05 0.0143407 0.0148239
TR0025 9.99459e-05 0.97114 0.022646 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05 0.00561427
GY0040 0.104273 0.0632295 0.602039 0.046982 9.99729e-05 9.99729e-05 9.99729e-05 0.180272 0.00290477
B2 9.99733e-05 9.99733e-05 0.0301199 0.42322 0.41953 0.0525734 0.071828 9.99733e-05 0.00242898
IN0114 0.556193 0.0617831 0.165387 9.9973e-05 9.9973e-05 0.0725738 0.0117483 0.132015 9.9973e-05
IN0115 0.628902 0.114262 0.108803 9.9973e-05 0.0971441 0.0315042 9.9973e-05 0.019085 9.9973e-05
TG0004 0.556688 0.0911688 0.0214497 0.103547 9.99729e-05 9.99729e-05 0.172521 0.0543244 9.99729e-05
TG0032 0.546485 0.0686581 0.0898578 0.0637336 9.99729e-05 9.99729e-05 0.207258 0.0237074 9.99729e-05
VT0030 0.0167725 0.17109 0.437497 9.997e-05 0.00187771 0.0739212 9.997e-05 0.298542 9.997e-05
CD0142 0.473777 9.99641e-05 0.191726 9.99641e-05 0.00186012 0.0659813 9.99641e-05 0.266255 9.99641e-05
IB49 0.344897 9.99641e-05 0.184331 9.99641e-05 0.141913 0.0449789 9.99641e-05 0.28348 9.99641e-05
VT0027 0.275551 9.99641e-05 0.350352 9.99641e-05 0.0470572 0.112774 9.99641e-05 0.213867 9.99641e-05
BN0202 9.9964e-05 0.657512 0.18614 0.00178728 0.0264606 9.9964e-05 9.9964e-05 0.127699 9.9964e-05
CD0065 0.483808 0.0649575 0.347108 0.0413716 9.9964e-05 9.9964e-05 0.0623551 9.9964e-05 9.9964e-05
ML0062 0.388628 0.16953 0.297485 0.0603859 9.9964e-05 9.9964e-05 0.0835716 9.9964e-05 9.9964e-05
US0041 0.472228 0.0826733 0.219358 9.99639e-05 9.99639e-05 0.0539789 0.171362 9.99639e-05 9.99639e-05
GG11 0.0012688 9.99551e-05 9.99551e-05 0.540176 0.453105 9.99551e-05 9.99551e-05 0.00495087 9.99551e-05
Br7 9.9955e-05 0.000505022 0.010332 9.9955e-05 0.96741 0.0212536 9.9955e-05 9.9955e-05 9.9955e-05
CH0452 0.771114 0.104067 0.0437786 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.0805409 9.9955e-05
IN0059 0.959316 0.0152826 0.0185406 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 0.00636058 9.9955e-05
TN0057 0.908299 0.0328576 0.0318323 9.9955e-05 9.9955e-05 9.9955e-05 0.0265118 9.9955e-05 9.9955e-05
CH0533 0.299893 0.567394 0.125683 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05 0.00653011 9.99549e-05
CM0028 0.0625531 0.0669577 0.82261 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05 0.0473795 9.99549e-05
IE1K 0.576597 0.297403 9.99549e-05 9.99549e-05 0.116304 9.99549e-05 9.99549e-05 0.00919709 9.99549e-05
IN0054 0.456618 0.127108 0.188597 9.99549e-05 9.99549e-05 9.99549e-05 0.227178 9.99549e-05 9.99549e-05
IT0010 0.0354765 0.872877 0.0750931 9.99549e-05 9.99549e-05 9.99549e-05 0.0160536 9.99549e-05 9.99549e-05
IA1 9.99461e-05 0.996501 9.99461e-05 0.000832585 0.00206651 9.99461e-05 9.99461e-05 9.99461e-05 9.99461e-05
P3 9.99461e-05 9.99461e-05 9.99461e-05 0.132427 0.847303 9.99461e-05 0.0196702 9.99461e-05 9.99461e-05
B71 9.9946e-05 9.9946e-05 9.9946e-05 0.0495357 0.94347 9.9946e-05 9.9946e-05 0.00639472 9.9946e-05
BdBar 9.9946e-05 9.9946e-05 0.0126236 9.9946e-05 0.979883 9.9946e-05 9.9946e-05 0.0068935 9.9946e-05
CH1164 0.0620449 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05 0.887846 9.99459e-05 0.0495098 9.99459e-05
HO 9.99459e-05 9.99459e-05 0.0111463 0.62419 0.364064 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05
IC17 0.608449 0.238423 9.99459e-05 9.99459e-05 0.152528 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05
NG0054 0.0689003 9.99459e-05 0.878872 9.99459e-05 9.99459e-05 9.99459e-05 9.99459e-05 0.0516279 9.99459e-05
INA168 9.99374e-05 0.983681 9.99374e-05 9.99374e-05 9.99374e-05 0.0156199 9.99374e-05 9.99374e-05 9.99374e-05
NP0058 9.99372e-05 0.111013 9.99372e-05 9.99372e-05 9.99372e-05 0.888287 9.99372e-05 9.99372e-05 9.99372e-05
BN0119 0.860931 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05 0.13837 9.99371e-05 9.99371e-05
BN0252 9.99371e-05 9.99371e-05 0.978302 0.0209982 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05
CH0461 9.99371e-05 9.99371e-05 9.99371e-05 0.00117207 9.99371e-05 0.998128 9.99371e-05 9.99371e-05 9.99371e-05
ML33 9.99371e-05 9.99371e-05 0.940499 9.99371e-05 9.99371e-05 9.99371e-05 0.0588016 9.99371e-05 9.99371e-05
P28 9.99371e-05 9.99371e-05 9.99371e-05 0.587585 0.411716 9.99371e-05 9.99371e-05 9.99371e-05 9.99371e-05
BN0123 0.898145 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.101155 9.9937e-05 9.9937e-05
Br80 9.9937e-05 0.0156453 9.9937e-05 9.9937e-05 0.983655 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05
CH0072 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.928821 9.9937e-05 0.0704795 9.9937e-05
CHRF 9.9937e-05 9.9937e-05 9.9937e-05 0.662667 0.336634 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05
CHW 9.9937e-05 9.9937e-05 9.9937e-05 0.231532 0.767768 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05
PgPA18C-02 9.9937e-05 0.0051048 9.9937e-05 0.994196 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05
TN0065 0.00408215 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 9.9937e-05 0.995218 9.9937e-05
AG0004 0.0857725 0.913528 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
BF0072 9.99369e-05 9.99369e-05 0.0472259 9.99369e-05 9.99369e-05 9.99369e-05 0.952075 9.99369e-05 9.99369e-05
BN0019 0.0088735 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 0.990427 9.99369e-05 9.99369e-05
FR1067 9.99369e-05 9.99369e-05 9.99369e-05 0.989274 0.0100267 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
NG0012 0.0909575 9.99369e-05 0.908343 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
PgKY4OV2-1 9.99369e-05 0.00800482 9.99369e-05 0.991296 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
PL2-1 9.99369e-05 9.99369e-05 9.99369e-05 0.466608 0.532693 9.99369e-05 9.99369e-05 9.99369e-05 9.99369e-05
LpKY-97-1 9.99368e-05 9.99368e-05 9.99368e-05 0.457479 0.541821 9.99368e-05 9.99368e-05 9.99368e-05 9.99368e-05
FR1069 9.993e-05 9.993e-05 9.993e-05 0.999201 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05
IN0017 0.999201 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05
TN0001 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201 9.993e-05
TN0002 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201 9.993e-05
TN0090 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 9.993e-05 0.999201 9.993e-05
