sample_ids V1 V2 V3 V4 V5 V6 V7
GFSI1-7-2 0.148215 0.202137 0.557259 0.0920889 9.99731e-05 9.99731e-05 9.99731e-05
GG11 9.99551e-05 9.99551e-05 0.000314834 0.999185 9.99551e-05 9.99551e-05 9.99551e-05
GN0001 9.99551e-05 9.99551e-05 0.889299 0.110201 9.99551e-05 9.99551e-05 9.99551e-05
GY0040 0.0534379 0.0912836 9.99819e-05 0.0502113 0.22949 0.575377 9.99819e-05
HO 9.99639e-05 9.99639e-05 9.99639e-05 0.976259 0.000837434 0.0225034 9.99639e-05
IA1 9.9955e-05 0.98887 9.9955e-05 0.0106306 9.9955e-05 9.9955e-05 9.9955e-05
IB33 0.747679 0.138568 0.0495778 0.0498296 9.9982e-05 9.9982e-05 0.0141458
IB49 0.173695 0.0456183 9.9991e-05 0.147841 0.375878 0.193597 0.0632703
IC17 0.618033 0.272446 9.99729e-05 0.0978412 0.0113796 9.99729e-05 9.99729e-05
IE1K 0.638981 0.295476 9.9982e-05 0.0501974 0.00878773 9.9982e-05 0.00635769
IN0017 0.986851 0.0126493 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05 9.9955e-05
IN0054 0.571113 0.125523 0.0171985 9.9973e-05 9.9973e-05 0.285865 9.9973e-05
IN0059 0.926553 0.0164853 9.9973e-05 9.9973e-05 0.0283804 0.0282813 9.9973e-05
IN0114 0.508349 0.0966966 9.9982e-05 9.9982e-05 0.125104 0.152207 0.117443
IN0115 0.659607 0.139018 9.9982e-05 0.0973567 9.9982e-05 0.0428662 0.0609516
IN0116 0.265872 0.301809 0.0509089 0.0812876 0.0792194 0.220803 9.9991e-05
INA168 9.99553e-05 0.996086 9.99553e-05 9.99553e-05 9.99553e-05 9.99553e-05 0.00341467
IR00102 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
IR0013 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
IR0015 9.9955e-05 9.9955e-05 0.996545 9.9955e-05 0.00295518 9.9955e-05 9.9955e-05
IR0083 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
IR0084 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05 9.995e-05
IR0088 0.108684 9.99821e-05 0.590951 0.215707 9.99821e-05 0.0475751 0.0368835
IR0095 9.99549e-05 0.0139325 0.985568 9.99549e-05 9.99549e-05 9.99549e-05 9.99549e-05
IT0010 0.0407882 0.871174 9.99639e-05 9.99639e-05 9.99639e-05 0.0876377 9.99639e-05
JP0091 0.139983 0.227727 0.505314 0.119763 0.00701299 9.9982e-05 9.9982e-05
LpKY-97-1 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05
ML0060 9.9973e-05 0.101548 0.00725154 9.9973e-05 0.0521559 0.838744 9.9973e-05
ML0062 0.430675 0.138635 9.9973e-05 0.0585363 9.9973e-05 0.371854 9.9973e-05
ML33 9.995e-05 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05
NG0012 0.106291 9.99639e-05 9.99639e-05 9.99639e-05 0.00839536 0.884914 9.99639e-05
NG0054 0.058212 9.99639e-05 9.99639e-05 9.99639e-05 0.0957075 0.845681 9.99639e-05
NP0058 9.99551e-05 0.114758 9.99551e-05 9.99551e-05 9.99551e-05 9.99551e-05 0.884742
P28 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05 9.995e-05
P29 0.164446 0.184693 0.15299 0.259969 0.0273475 0.148482 0.0620724
P3 9.99642e-05 9.99642e-05 0.0320618 0.964852 9.99642e-05 0.0026865 9.99642e-05
Pg1213-22 9.9964e-05 0.0460586 0.0125803 0.940961 9.9964e-05 9.9964e-05 9.9964e-05
PgKY4OV2-1 9.9964e-05 9.9964e-05 0.0982489 0.887825 9.9964e-05 0.0135265 9.9964e-05
PgPA18C-02 9.9973e-05 9.9973e-05 0.0551298 0.917901 9.9973e-05 0.0181569 0.00851198
PH42 0.0685865 9.99551e-05 9.99551e-05 0.930914 9.99551e-05 9.99551e-05 9.99551e-05
PL2-1 9.9955e-05 9.9955e-05 0.0306417 0.968859 9.9955e-05 9.9955e-05 9.9955e-05
SSFL02 0.013728 9.99643e-05 0.471566 0.514307 9.99643e-05 9.99643e-05 9.99643e-05
SSFL14-3 9.99642e-05 9.99642e-05 0.299816 0.501069 9.99642e-05 0.198716 9.99642e-05
T25 9.9973e-05 9.9973e-05 0.00984671 0.977277 0.000378328 9.9973e-05 0.012198
TG0004 0.649909 0.0847155 0.0572407 0.0704506 0.0322514 0.105332 9.9991e-05
TG0032 0.666161 0.0614469 0.059901 0.0669197 0.00631866 0.139153 9.9991e-05
TN0001 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
TN0002 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
TN0050 0.956895 0.023035 9.9964e-05 9.9964e-05 9.9964e-05 0.0196703 9.9964e-05
TN0057 0.94638 0.00189115 9.9964e-05 9.9964e-05 9.9964e-05 0.0513288 9.9964e-05
TN0065 9.9955e-05 9.9955e-05 0.00756318 9.9955e-05 0.991937 9.9955e-05 9.9955e-05
TN0090 9.995e-05 9.995e-05 9.995e-05 9.995e-05 0.9994 9.995e-05 9.995e-05
TR0025 9.99549e-05 0.966733 9.99549e-05 9.99549e-05 9.99549e-05 0.0327672 9.99549e-05
US0041 0.578672 0.0683219 0.00637482 9.9982e-05 9.9982e-05 0.304164 0.0422676
US0064 0.21316 0.162851 0.516095 0.107594 9.9973e-05 9.9973e-05 9.9973e-05
VT0027 0.190835 9.99821e-05 9.99821e-05 0.0620174 0.20046 0.396722 0.149765
VT0030 9.99731e-05 0.205103 9.99731e-05 9.99731e-05 0.283791 0.450968 0.0598382
Z2-1 0.000313969 9.99821e-05 0.333722 0.583113 0.0500166 9.99821e-05 0.0326347
