sorted_sample_ids V1 V2 V3 V4 V5 V6
US0041 0.0628688 0.640072 9.9982e-05 0.26418 9.9982e-05 0.0326787
Pg1213-22 9.9973e-05 0.0267903 9.9973e-05 9.9973e-05 0.941173 0.0317367
IN0114 0.138137 0.567583 0.118131 0.145182 9.9991e-05 0.0308661
P3 9.99731e-05 9.99731e-05 9.99731e-05 0.0140218 0.961665 0.0240136
Br7 0.0258281 0.0103801 0.00359226 0.00460109 0.955498 9.9991e-05
CD0142 0.0952914 0.328061 0.38031 0.190422 0.0058155 9.9991e-05
IB49 0.0717151 0.215667 0.411639 0.179048 0.121831 9.999e-05
VT0027 0.141448 0.182295 0.272823 0.338969 0.0643647 9.999e-05
IN0017 0.00919707 0.928779 0.0575921 0.00423215 9.9982e-05 9.9982e-05
VT0030 0.0907688 0.133632 0.332115 0.443284 9.9982e-05 9.9982e-05
NG0054 0.00504974 0.0515175 0.0991722 0.844061 9.99819e-05 9.99819e-05
BN0202 9.998e-05 0.599416 0.112751 0.267298 0.0203353 9.998e-05
GY0040 9.998e-05 0.186614 0.239246 0.518657 0.0552824 9.998e-05
IE1K 0.00650949 0.891216 0.0250861 9.998e-05 0.076988 9.998e-05
IA1 9.99731e-05 0.92728 9.99731e-05 0.00119097 0.0712289 9.99731e-05
BdBar 0.00896941 9.9973e-05 0.0188662 9.9973e-05 0.971864 9.9973e-05
CH0533 9.9973e-05 0.928473 0.0136132 0.0576134 9.9973e-05 9.9973e-05
IC17 9.9973e-05 0.861507 0.0117531 9.9973e-05 0.12644 9.9973e-05
ML0060 9.9973e-05 0.0800268 0.0361547 0.883519 9.9973e-05 9.9973e-05
CM0028 9.99729e-05 0.185671 0.0589003 0.755129 9.99729e-05 9.99729e-05
Br80 0.0121809 0.0428981 9.997e-05 9.997e-05 0.944621 9.997e-05
CH0452 9.997e-05 0.838546 0.109837 0.0513174 9.997e-05 9.997e-05
ML0062 9.997e-05 0.56909 9.997e-05 0.366258 0.0643523 9.997e-05
INA168 0.00452033 0.99508 9.99644e-05 9.99644e-05 9.99644e-05 9.99644e-05
GG11 9.99641e-05 9.99641e-05 0.0187552 9.99641e-05 0.980845 9.99641e-05
NP0058 0.901612 0.097988 9.99641e-05 9.99641e-05 9.99641e-05 9.99641e-05
PH42 9.99641e-05 0.0520023 9.99641e-05 9.99641e-05 0.947598 9.99641e-05
TR0025 9.99641e-05 0.904524 9.99641e-05 0.0950757 9.99641e-05 9.99641e-05
B71 9.9964e-05 9.9964e-05 0.0386615 9.9964e-05 0.960939 9.9964e-05
CH0072 0.923101 9.9964e-05 0.0764991 9.9964e-05 9.9964e-05 9.9964e-05
CH0461 0.992708 9.9964e-05 9.9964e-05 0.00689227 9.9964e-05 9.9964e-05
T25 9.9964e-05 0.0196523 9.9964e-05 9.9964e-05 0.979948 9.9964e-05
CH1164 0.902193 9.99639e-05 0.0974076 9.99639e-05 9.99639e-05 9.99639e-05
HO 9.99639e-05 9.99639e-05 9.99639e-05 0.0133953 0.986205 9.99639e-05
LpKY-97-1 9.99639e-05 0.0124269 9.99639e-05 9.99639e-05 0.987173 9.99639e-05
NG0012 9.99639e-05 0.10891 9.99639e-05 0.89069 9.99639e-05 9.99639e-05
AG0004 9.996e-05 0.9995 9.996e-05 9.996e-05 9.996e-05 9.996e-05
BN0252 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05
CHRF 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05
CHW 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05
IT0010 9.996e-05 0.936715 9.996e-05 0.0628849 9.996e-05 9.996e-05
ML33 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05
P28 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05
PL2-1 9.996e-05 9.996e-05 9.996e-05 9.996e-05 0.9995 9.996e-05
TN0001 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05 9.996e-05
TN0002 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05 9.996e-05
TN0065 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05 9.996e-05
TN0090 9.996e-05 9.996e-05 0.9995 9.996e-05 9.996e-05 9.996e-05
