Sample	Unique Reads	Duplicate Reads
Pg1213-22_R2	3317500.0	624086.0
PgKY4OV2-1_R1	14214345.0	1917516.0
PgKY4OV2-1_R2	14384945.0	1746916.0
PgPA18C-02_R1	18876714.0	1992960.0
PgPA18C-02_R2	19074041.0	1795633.0
SSFL02_R1	2451681.0	518506.0
SSFL02_R2	2503305.0	466882.0
SSFL14-3_R1	2439056.0	626817.0
SSFL14-3_R2	2492759.0	573114.0
T25_R1	11677680.0	1552037.0
T25_R2	11754665.0	1475052.0
TG0004_R1	6328161.0	1508022.0
TG0004_R2	6483408.0	1352775.0
TG0032_R1	8974282.0	2564907.0
TG0032_R2	9331665.0	2207524.0
TN0001_R1	7080846.0	1950576.0
TN0001_R2	7301763.0	1729659.0
TN0002_R1	8447541.0	2586733.0
TN0002_R2	8774663.0	2259611.0
TN0050_R1	9353674.0	2282397.0
TN0050_R2	9656988.0	1979083.0
TN0057_R1	9059126.0	2673283.0
TN0057_R2	9430498.0	2301911.0
TN0065_R1	11118795.0	3583743.0
TN0065_R2	11655446.0	3047092.0
TN0090_R1	9055003.0	2556728.0
TN0090_R2	9417305.0	2194426.0
TR0025_R1	11480975.0	3173461.0
TR0025_R2	11855519.0	2798917.0
US0041_R1	6302815.0	1684655.0
US0041_R2	6497653.0	1489817.0
US0064_R1	11192426.0	3613560.0
US0064_R2	11599898.0	3206088.0
VT0027_R1	5675130.0	1609094.0
VT0027_R2	5865674.0	1418550.0
VT0030_R1	7289843.0	1930268.0
VT0030_R2	7502212.0	1717899.0
Z2-1_R1	23821359.0	6701858.0
Z2-1_R2	23907978.0	6615239.0
